Store_Name,Address,lat,lgt,center_latitude,center_longitude,NumPanels,YearlyEnergy,SolarArea
Lovejoy Station,"11161 Tara Blvd, Hampton, GA 30228",33.4494088,-84.32599359999999,33.4494079,-84.32599789999999,78,47582.563,153.15727
Lulah Hills,"3795 N Druid Hills Rd, Decatur, GA 30033",33.8114063,-84.2787525,33.8114075,-84.2787546,366,210982.67,718.6611
Macland Crossing,"2005 Macland Crossing Cir SW, Marietta, GA 30008",33.9046893,-84.6034857,33.9046888,-84.6035162,80,43706.3,157.08438
Macon Road,"2421 Wynnton Rd, Columbus, GA 31906",32.4719888,-84.9562527,32.472017199999996,-84.95626209999999,91,53144,178.68349
Madison (GA),"1781 Eatonton Rd, Madison, GA 30650",33.5637543,-83.4790453,33.5637658,-83.47907909999999,96,56886.36,188.50127
Mall of Georgia,"3333 Buford Dr Spc No1071, Buford, GA 30519",34.0662711,-83.98427459999999,34.0648562,-83.9843728,24584,14673355,48272.03
Mall of Georgia on Buford Drive,"3235 Buford Dr, Buford, GA 30519",34.0645016,-83.9889993,34.0644989,-83.9889887,133,72900.31,261.1528
Manchester Expressway,"2730 Manchester Expy, Columbus, GA 31904",32.5060192,-84.95222969999999,32.5059598,-84.9522684,2479,1554896.9,4867.6523
McDonough,"1321 Highway 20 W, McDonough, GA 30253",33.4242934,-84.1834411,33.424280599999996,-84.18344019999999,91,53882.875,178.68349
Memorial Drive,"5542 Memorial Dr, Stone Mountain, GA 30083",33.8012663,-84.21178499999999,33.801277999999996,-84.21179389999999,66,36823.6,129.59462
Mercedes-Benz Stadium,"441 Martin Luther King Jr Dr NW, Atlanta, GA 30313",33.7556317,-84.401696,33.755446299999996,-84.4008144,11554,6704390,22686.912
Mercer University,"1400 Coleman Ave, Macon, GA 31207",32.8293681,-83.6515137,32.8293713,-83.6515129,5367,3298339,10538.399
Midland,"6501 Kitten Lake Dr, Midland, GA 31820",32.5395648,-84.8690634,32.539564399999996,-84.8690609,95,55470.953,186.5377
Midtown Savannah,"7 E Derenne Ave, Savannah, GA 31405",32.0283957,-81.110362,32.028518,-81.1106447,39,22275.928,76.578636
Milledgeville,"1730 N Columbia St, Milledgeville, GA 31061",33.1006343,-83.24818669999999,33.1006309,-83.24820009999999,107,65360.09,210.10037
Monroe (GA),"620 Highway 138, Monroe, GA 30655",33.7958305,-83.7413,33.7958255,-83.74130509999999,91,53854.62,178.68349
Moore Road,"1035 Peachtree Industrial Blvd, Suwanee, GA 30024",34.0520231,-84.0901252,34.052028199999995,-84.0900942,81,46875.35,159.04794
Moultrie,"502 Lane St, Moultrie, GA 31768",31.1733741,-83.7624676,31.1733813,-83.7625091,104,62327.855,204.2097
Mullins Crossing,"4201 Washington Rd, Evans, GA 30809",33.5253146,-82.11951030000002,33.525279999999995,-82.1194893,95,53914.117,186.5377
North Dalton,"1275 N Glenwood Ave, Dalton, GA 30721",34.7957762,-84.9627455,34.795405699999996,-84.96311539999999,865,512384.06,1698.475
North Decatur,"650 Decatur Village Way, Decatur, GA 30033",33.7956905,-84.2859355,33.7957284,-84.2858057,131,75068.47,257.22568
North Druid Hills,"2340 N Druid Hills Rd NE, Atlanta, GA 30329",33.8272527,-84.32876580000001,33.8275986,-84.32863499999999,121,69836.055,237.59013
North Point Mall,"2180 N Point Cir, Alpharetta, GA 30022",34.0486398,-84.29384900000001,34.048435,-84.2945933,22518,13409740,44215.33
North Point Parkway,"6085 N Point Pkwy, Alpharetta, GA 30022",34.0485477,-84.288524,34.0484262,-84.28851019999999,185,104060.69,363.25766
North Valdosta,"3147 Inner Perimeter Rd, Valdosta, GA 31602",30.8798963,-83.29693979999999,30.879910799999998,-83.2969127,97,60999.668,190.46483
Northeast Georgia Medical Center,"743 Spring St NE, Gainesville, GA 30501",34.3034084,-83.8164795,34.3034167,-83.8164437,426,258201.75,836.47437
Northlake Festival,"3967 Lavista Rd, Tucker, GA 30084",33.8459618,-84.2525325,33.8459844,-84.2525031,83,48909.37,162.97505
Northridge Drive-Thru Only,"8433 Roswell Rd, Atlanta, GA 30350",33.9843802,-84.3499405,33.9843646,-84.34993759999999,48,27306.402,94.25063
Oakwood,"3437 Winder Hwy, Flowery Branch, GA 30542",34.2185701,-83.8607145,34.2185649,-83.8607681,114,64812.152,223.84526
Outlet Shoppes at Atlanta,"951 Ridgewalk Pkwy, Woodstock, GA 30188",34.1229958,-84.52545549999999,34.1229905,-84.5254621,79,46896.156,155.12083
Peach Orchard Road,"3130 Peach Orchard Rd, Augusta, GA 30906",33.41031359999999,-82.0260933,33.4098243,-82.0264177,168,99425.17,329.87723
Peachtree at Collier,"1901 Peachtree Rd NE, Atlanta, GA 30309",33.8070022,-84.3935434,33.8069352,-84.3934882,140,80253.28,274.89767
Peachtree Center,"225 Peachtree St NE # B-40, Atlanta, GA 30303",33.7602157,-84.38708489999999,33.7603496,-84.3868035,3058,1399986.6,6004.551
Peachtree City Midtown,"707 Highway 54, Peachtree City, GA 30269",33.4096653,-84.5673636,33.4097819,-84.5672633,73,41522.406,143.33951
Peachtree Corners,"6105 Peachtree Pkwy, Norcross, GA 30092",33.9532887,-84.2346827,33.9532885,-84.2346731,67,39477.508,131.55818
Peachtree Ind. & Pleasant Hill,"3555 Peachtree Industrial Blvd, Duluth, GA 30096",34.0015621,-84.16973469999999,34.0015691,-84.16972000000001,65,36622.473,127.631065
Perimeter at Hammond Drive,"4350 Ashford Dunwoody Rd NE, Atlanta, GA 30346",33.9209789,-84.34151059999999,33.920990499999995,-84.3415795,146,78886.08,286.67902
Perimeter Mall,"4400 Ashford Dunwoody Rd Ne, Atlanta, GA 30346",33.9235924,-84.3407299,33.923739999999995,-84.34124100000001,26783,15927622,52589.89
Perimeter Pointe,"1145 Mount Vernon Hwy, Dunwoody, GA 30338",33.9340607,-84.3500172,33.9340635,-84.3500172,68,37794.38,133.52173
Piedmont Augusta,"1350 Walton Way, Augusta, GA 30901",33.4711803,-81.9830535,33.4707824,-81.9828773,8491,4810708.5,16672.545
Piedmont Road,"2580 Piedmont Rd NE, Atlanta, GA 30324",33.8253802,-84.3676143,33.8254166,-84.3676705,97,49309.934,190.46483
Pike Street,"680 Duluth Hwy, Lawrenceville, GA 30046",33.965634,-84.0108554,33.965623199999996,-84.0108734,83,47837.023,162.97505
Pleasant Hill Dwarf House,"1570 Pleasant Hill Rd, Duluth, GA 30096",33.9437208,-84.1232517,33.9437236,-84.1232275,184,104319.17,361.2941
Ponce & Boulevard,"689 Boulevard NE, Atlanta, GA 30308",33.7735229,-84.3704882,33.7734844,-84.3704668,26,14283.605,51.052425
Pooler,"180 Pooler Pkwy, Pooler, GA 31322",32.1413925,-81.2457079,32.141356,-81.24572460000002,71,41628.703,139.4124
Poplar Road,"2090 Newnan Crossing Blvd E, Newnan, GA 30265",33.3737599,-84.7539513,33.3734842,-84.75332370000001,110,67304.4,215.99103
RELO Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040",34.1846087,-84.14635799999999,34.184633999999996,-84.1463685,140,74435.27,274.89767
RELO Wesley Chapel Road,"2452 Wesley Chapel Rd, Decatur, GA 30035",33.7158201,-84.2149111,33.715783099999996,-84.214882,166,101357.69,325.9501
Rincon,"5438 GA Highway 21 S, Rincon, GA 31326",32.27469,-81.2291612,32.2746741,-81.22917180000002,116,68412.91,227.77237
Riverdale Dwarf House,"6549 Highway 85, Riverdale, GA 30274",33.5756325,-84.4129688,33.5756304,-84.4129792,123,73317.88,241.51724
